no,kanji,alphabet
1,政治,Seiji
2,経済,Keizai
3,健康,Kenkou
4,環境,Kankyou
5,教育,Kyouiku
6,科学,Kagaku
7,技術,Gijutsu
8,ビジネス,Bijinesu
9,スポーツ,Supootsu
10,エンターテイメント,Entaateimento
11,国際関係,Kokusai Kankei
12,犯罪,Hanzai
13,天気,Tenki
14,芸術文化,Geijutsu Bunka
15,ファッション,Fasshon
16,旅行,Ryokou
17,食と飲み物,Shoku to Nomimono
18,不動産,Fudousan
19,株式市場,Kabushiki Shijou
20,交通,Koutsuu
21,エネルギー,Enerugii
22,法律とガバナンス,Houritsu to Gabanansu
23,社会問題,Shakai Mondai
24,ヒューマン・インタレスト,Hyuuman Intaresuto
25,セレブニュース,Serebu Nyuusu
26,地元ニュース,Jimoto Nyuusu
27,紛争と戦争,Funsou to Sensou
28,ヘルスケアポリシー,Herusukea Porishii
29,教育政策,Kyouiku Seisaku
30,選挙,Senkyo

